AREA_NAME,AREA_SHORT_CODE,Average Total Income,Median Age,Average Household Size,Total private dwellings,Average Commute Time,"Car, truck, van - as a driver %","Car, truck, van - as a passenger %",Public transit %,Walked %,Bicycle %,Single-detached house %,Apartment in a building w/ >= 5 stories %,Semi-detached house %,Row house %,Apartment or flat in a duplex %,Apartment in a building w/ < 5 stories %,"No certificate, diploma or degree",Secondary (high) school diploma or equivalent,"Postsecondary certificate, diploma or degree"
City of Toronto,-1,52268.0,41.263312986739635,2.42,1179057,36.12782811307257,0.4598159153674299,0.04569743136792547,0.3700876460267534,0.08605936589518447,0.02746082306533286,0.24231083715956978,0.4432219456749301,0.06399773570664821,0.05537634891682316,0.043614602895060785,0.14882337613326985,0.10277428504355823,0.20393423011740947,0.6932882690223596
Agincourt North,129,30414.0,41.263312986739635,3.16,9371,37.40355329949239,0.6053299492385786,0.07868020304568528,0.28341793570219964,0.02241962774957699,0.005922165820642978,0.3665753424657534,0.23232876712328768,0.08821917808219178,0.1578082191780822,0.07068493150684932,0.08054794520547945,0.2157877709479133,0.2743448722096409,0.5092203170494985
Agincourt South-Malvern West,128,31825.0,41.263312986739635,2.88,8535,37.102904972919745,0.6038385826771654,0.0654527559055118,0.2937992125984252,0.027559055118110236,0.0034448818897637795,0.34296250768285186,0.38660110633066996,0.040565457897971724,0.06330669944683466,0.08543331284572833,0.07498463429625077,0.1413373860182371,0.2591185410334346,0.5999240121580547
Alderwood,20,47709.0,41.22690058479533,2.6,4732,32.49627791563275,0.6765922249793217,0.058726220016542596,0.21257237386269645,0.03225806451612903,0.010752688172043012,0.6147186147186147,0.05519480519480519,0.11796536796536797,0.0183982683982684,0.07142857142857142,0.12121212121212122,0.11406025824964132,0.2618364418938307,0.624103299856528
Annex,95,112766.0,41.95635910224439,1.8,18109,29.25092250922509,0.22065727699530516,0.019450033534540577,0.41582830315224684,0.21462105969148224,0.11234071093226022,0.040476937558832755,0.5123941010354566,0.07436460621273926,0.037339190461248825,0.028553498588013804,0.30090994665829934,0.025118615685180017,0.11498744069215741,0.859335752162992
Banbury-Don Mills,42,67757.0,41.22690058479533,2.23,12473,34.078104431768324,0.6274681878016674,0.04387889425186485,0.258446687143484,0.05397103992979377,0.005704256252742431,0.2874226804123711,0.5171134020618556,0.023505154639175258,0.06103092783505155,0.0032989690721649486,0.10845360824742269,0.04258289703315881,0.1581151832460733,0.7996509598603839
Bathurst Manor,34,45936.0,41.263312986739635,2.56,6418,37.8150917743032,0.53125,0.036005434782608696,0.389945652173913,0.029211956521739132,0.0020380434782608695,0.3462171052631579,0.3379934210526316,0.027138157894736843,0.007401315789473684,0.10526315789473684,0.17598684210526316,0.05510907003444317,0.21010332950631458,0.7336394948335246
Bay Street Corridor,76,56526.0,42.026898734177216,1.7,18436,25.77994075327973,0.15065594583157005,0.01396529834955565,0.2996191282268303,0.4942869234024545,0.027507405840033854,0.0003316749585406302,0.9817578772802653,0.0,0.0009950248756218905,0.0,0.015920398009950248,0.0193154862758387,0.0857336496103016,0.8959674686546933
Bayview Village,52,52035.0,41.60669274228595,2.22,10111,37.87016293279022,0.5363867684478372,0.03918575063613232,0.37608142493638674,0.035114503816793895,0.0030534351145038168,0.21237545883586786,0.6187729417933928,0.012585212375458836,0.09229155742003146,0.007865757734661772,0.054535920293654956,0.030007794232268122,0.13250194855806702,0.8378799688230709
Bayview Woods-Steeles,49,47246.0,41.263312986739635,2.7,4895,38.20946626384693,0.5881168177240684,0.04833836858006042,0.324269889224572,0.022155085599194362,0.002014098690835851,0.33297872340425533,0.3776595744680851,0.10531914893617021,0.0425531914893617,0.02127659574468085,0.12127659574468085,0.0492845786963434,0.14467408585055644,0.8068362480127186
