lng,lat,Bedrooms,Bathrooms,Size,Balcony,Dishwasher,In Unit Laundry,On Site Laundry,Assigned Parking,Fitness Center,Garage Parking,Storage,Concierge Service,Swimming Pool,Price
-79.3927046,43.6919863,2,1,,1,1,0,2,0,0,1,0,0,0,2495
-79.3927046,43.6919863,3,11,,1,1,0,2,0,0,1,0,0,0,3295
-79.2766949,43.699518,0,1,482,1,1,0,2,1,0,1,0,0,0,1731
-79.2766949,43.699518,1,1,653,1,1,0,2,1,0,1,0,0,0,1835
-79.3408096,43.7073109,1,1,554,0,1,0,2,0,1,0,1,1,1,1550
-79.3408096,43.7073109,2,11,1147,0,1,0,2,0,1,0,1,1,1,2015
-79.3408096,43.7073109,3,2,1616,0,1,0,2,0,1,0,1,1,1,2640
-79.3771951,43.6711041,1,1,524,1,1,1,1,0,1,0,1,1,1,2100
-79.3771951,43.6711041,2,2,821,1,1,1,1,0,1,0,1,1,1,2950
-79.3771951,43.6711041,3,2,1093,1,1,1,1,0,1,0,1,1,1,3665
-79.39129710000002,43.7064477,0,1,390,1,1,0,2,0,1,1,1,0,1,1775
-79.39129710000002,43.7064477,1,1,630,1,1,0,2,0,1,1,1,0,1,2050
-79.3928924,43.698893,1,1,537,1,1,1,2,0,1,1,1,1,1,1960
-79.3928924,43.698893,2,2,773,1,1,1,2,0,1,1,1,1,1,2620
-79.39525549999999,43.7090399,0,1,,0,0,0,2,0,0,0,0,0,1,1500
-79.39525549999999,43.7090399,1,1,,0,0,0,2,0,0,0,0,0,1,1900
-79.39525549999999,43.7090399,2,1,,0,0,0,2,0,0,0,0,0,1,2200
-79.39786180000002,43.7080608,0,1,,0,0,1,0,0,1,0,1,1,0,2060
-79.39786180000002,43.7080608,1,1,,0,0,1,0,0,1,0,1,1,0,1990
-79.39786180000002,43.7080608,2,2,,0,0,1,0,0,1,0,1,1,0,3608
-79.38285979999999,43.668435,1,1,502,1,0,0,0,0,1,1,0,0,0,1950
-79.38285979999999,43.668435,3,2,1028,1,0,0,0,0,1,1,0,0,0,3500
-79.4050586,43.7575925,1,1,511,1,1,1,2,0,1,1,1,0,0,1875
-79.4050586,43.7575925,2,2,815,1,1,1,2,0,1,1,1,0,0,2495
-79.42244529999999,43.6402822,0,1,,0,0,0,0,0,0,0,0,0,0,1810
-79.42244529999999,43.6402822,1,1,,0,0,0,0,0,0,0,0,0,0,1995
-79.42244529999999,43.6402822,2,1,,0,0,0,0,0,0,0,0,0,0,2390
-79.42244529999999,43.6402822,3,1,,0,0,0,0,0,0,0,0,0,0,3695
-79.3336202,43.7743867,1,1,,0,0,1,0,0,1,1,0,1,0,1821
-79.3336202,43.7743867,2,1,,0,0,1,0,0,1,1,0,1,0,2380
-79.3336202,43.7743867,3,2,,0,0,1,0,0,1,1,0,1,0,2760
-79.39853169999999,43.7114339,1,1,460,1,1,1,2,0,1,1,1,1,1,1965
-79.39853169999999,43.7114339,2,2,794,1,1,1,2,0,1,1,1,1,1,2590
-79.3942884,43.7062633,0,1,462,1,1,0,2,0,1,1,1,0,0,1545
-79.3942884,43.7062633,1,1,542,1,1,0,2,0,1,1,1,0,0,1825
-79.3942884,43.7062633,2,1,869,1,1,0,2,0,1,1,1,0,0,2270
-79.53219849999999,43.6431922,0,1,,0,0,0,0,0,1,0,0,0,0,1750
-79.53219849999999,43.6431922,1.5,1,,0,0,0,0,0,1,0,0,0,0,1995
-79.53219849999999,43.6431922,2,2,,0,0,0,0,0,1,0,0,0,0,2240
-79.447343,43.73377379999999,0,1,,1,1,1,2,0,1,1,1,0,0,1525
-79.447343,43.73377379999999,1,1,,1,1,1,2,0,1,1,1,0,0,1950
-79.447343,43.73377379999999,2,2,,1,1,1,2,0,1,1,1,0,0,2465
-79.3759018,43.6543938,0,1,,1,1,1,2,0,1,1,1,0,0,1650
-79.3759018,43.6543938,1,1,,1,1,1,2,0,1,1,1,0,0,2175
